mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2791;2.71951;0.00034812
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_seq.h5;seq;43.2791;2.8394;0.000363466
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_seq.h5;seq;43.2791;2.83637;0.000363078
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2791;2.72179;0.000348411
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_seq.h5;seq;43.2791;2.83656;0.000363104
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_seq.h5;seq;43.2791;2.83637;0.000363079
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3819;5.461;0.0013981
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_seq.h5;seq;28.3819;5.67836;0.00145375
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_seq.h5;seq;28.3819;5.68156;0.00145457
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3819;5.45999;0.00139785
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_seq.h5;seq;28.3819;5.68115;0.00145447
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_seq.h5;seq;28.3819;5.68385;0.00145516
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9999;13.3225;0.00682153
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_seq.h5;seq;22.9999;13.8012;0.00706665
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_seq.h5;seq;22.9999;13.8006;0.00706634
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9999;13.4328;0.00687804
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_seq.h5;seq;22.9999;13.8013;0.0070667
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_seq.h5;seq;22.9999;13.7816;0.00705664
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;27.5851;0.0282634
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;28.2549;0.0289497
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;27.9275;0.0286142
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;27.5309;0.0282079
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;27.9335;0.0286204
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_seq.h5;seq;21.0745;27.9727;0.0286605
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;55.5771;0.113887
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_seq.h5;seq;20.387;56.0928;0.114944
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_seq.h5;seq;20.387;56.0572;0.114871
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;55.8351;0.114416
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_seq.h5;seq;20.387;56.3338;0.115438
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_seq.h5;seq;20.387;56.0971;0.114953
2;1;2;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;1.83403;2.34756e-05
2;1;2;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;2.61696;3.3497e-05
2;1;2;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;3.16985;4.05741e-05
2;1;2;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;2.03171;2.60058e-05
2;1;2;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;2.70131;3.45768e-05
2;1;2;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;3.32443;4.25528e-05
2;1;2;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;1.99678;5.11182e-05
2;1;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;2.96112;7.58057e-05
2;1;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;3.18646;8.15745e-05
2;1;2;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;2.06923;5.29729e-05
2;1;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;3.11307;7.96956e-05
2;1;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;3.25992;8.34551e-05
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2268;3.03605;0.000155447
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;4.63653;0.000237393
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;4.76307;0.000243872
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2268;3.44654;0.000176465
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;4.76673;0.00024406
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;4.8564;0.000248651
2;1;2;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;4.13457;0.000423407
