mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2791;2.71827;0.000347961
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.89252;0.000370267
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.83622;0.00036306
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2791;2.72001;0.000348184
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.83546;0.000362962
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.83623;0.000363061
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3819;5.45941;0.0013977
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.68537;0.00145555
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.67894;0.0014539
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3819;5.46531;0.00139921
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.68042;0.00145428
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.67958;0.00145407
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9999;13.4142;0.0068685
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7634;0.00704731
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7502;0.00704057
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9999;13.2779;0.00679871
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7538;0.00704239
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7541;0.00704255
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;27.0456;0.0277106
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;28.2284;0.0289225
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;28.1802;0.0288731
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;28.0189;0.0287079
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.9826;0.0286706
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;28.0952;0.028786
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;55.6521;0.114041
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;56.0235;0.114802
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;56.7643;0.11632
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;54.9796;0.112663
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;57.0215;0.116847
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;57.0108;0.116825
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.7937;1.4667;1.87737e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;2.03882;2.60969e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;2.84459;3.64108e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.7937;2.15535;2.75885e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;3.08641;3.9506e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;3.5356;4.52557e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.6217;1.63321;4.18108e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;2.77158;7.09533e-05
